throughput,packet_loss,jitter
103.0,1.5,0.487
102.0,2.5,0.691
103.0,1.4,0.024
103.0,1.6,0.012
102.0,1.7,0.084
103.0,2.5,0.02
102.0,2.1,0.012
104.0,1.4,0.031
69.435,25.75,0.0435
69.435,25.75,0.0435
34.87,50.1,0.056
103.0,2.5,0.371
103.0,1.5,0.008
103.0,1.3,0.005
103.0,1.3,0.029
103.0,1.3,0.005
103.0,1.6,0.034
103.0,1.6,0.268
104.0,1.1,0.241
104.0,1.2,0.094
105.0,0.0,0.072
104.0,0.77,0.092
105.0,0.022,0.063
104.0,0.88,0.513
104.0,1.2,0.435
103.0,1.6,0.153
104.0,1.1,0.398
103.0,2.3,0.023
102.0,2.2,0.009
104.0,1.5,0.384
102.0,2.7,0.253
103.0,2.0,0.398
102.0,2.7,0.411
103.0,1.4,0.456
103.0,1.9,0.293
104.0,1.1,0.329
103.0,1.3,0.332
101.0,3.6,0.224
103.0,1.5,0.244
103.0,1.4,0.365
104.0,1.3,0.077
103.0,2.1,0.15
104.0,0.52,0.315
104.0,1.4,0.124
103.0,1.6,0.082
103.0,1.6,0.212
104.0,1.2,0.043
103.0,1.9,0.129
102.0,2.1,0.183
103.0,1.9,0.144
102.0,3.3,0.071
103.0,1.2,0.332
104.0,0.82,0.183
104.0,1.1,0.06
104.0,0.6,0.227
103.0,1.2,0.35
103.0,2.5,0.048
103.0,1.1,0.403
102.0,2.8,0.172
104.0,1.3,0.071
104.0,1.2,0.033
103.0,1.2,0.38
103.0,1.3,0.553
104.0,1.5,0.009
103.0,0.98,0.388
104.0,1.3,0.043
102.0,2.1,0.372
103.0,2.0,0.016
103.0,1.3,0.039
104.0,1.3,0.011
102.0,2.1,0.377
103.0,2.0,0.04
103.0,1.3,0.409
103.0,1.8,0.462
104.0,1.7,0.012
102.0,1.9,0.285
103.0,2.1,0.009
103.0,1.7,0.019
103.0,1.3,0.66
104.0,1.9,0.023
103.0,1.8,0.005
103.0,1.4,0.006
101.0,2.1,0.633
104.0,1.4,0.032
103.0,2.1,0.006
102.0,2.5,0.04
103.0,2.2,0.021
104.0,1.7,0.009
102.0,2.1,0.012
103.0,2.4,0.006
102.0,2.0,0.32
103.0,1.4,0.279
103.0,2.4,0.017
104.0,1.6,0.005
102.0,2.6,0.023
103.0,3.0,0.008
101.0,3.0,0.005
102.0,2.8,0.016
97.0,6.8,0.161
64.7,18.0,0.038
40.0,70.0,0.005
69.5,33.0,0.019
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
37.8875,28.625,0.01025
6.275,24.25,0.0015
103.0,1.7,0.008
102.0,2.2,0.006
102.0,1.6,0.094
105.0,1.2,0.012
103.0,1.5,0.005
102.0,1.6,0.083
103.0,2.3,0.008
103.0,1.7,0.005
103.0,1.8,0.011
103.0,1.5,0.013
103.0,1.9,0.017
101.0,3.1,0.017
104.0,1.1,0.024
102.0,2.4,0.005
101.0,2.6,0.027
103.0,2.1,0.005
103.0,2.3,0.036
102.0,2.3,0.007
104.0,1.5,0.009
102.0,2.7,0.023
104.0,0.8,0.026
103.0,1.3,0.008
104.0,1.4,0.022
103.0,1.7,0.012
103.0,1.5,0.025
103.0,2.1,0.006
102.0,2.6,0.028
105.0,0.0,0.057
104.0,0.39,0.163
104.0,0.068,0.054
104.0,0.57,0.006
103.0,1.4,0.007
102.0,2.7,0.005
104.0,1.3,0.025
103.0,1.6,0.011
103.0,1.9,0.008
103.0,1.7,0.007
103.0,1.8,0.056
103.0,1.8,0.021
105.0,0.0,0.054
104.0,0.48,0.085
104.0,0.35,0.029
104.0,0.65,0.005
103.0,1.8,0.006
103.0,2.2,0.007
103.0,1.5,0.044
103.0,1.9,0.097
103.0,1.9,0.032
103.0,2.0,0.166
102.0,2.8,0.273
103.0,1.0,0.007
104.0,1.5,0.036
103.0,1.7,0.006
104.0,1.5,0.008
103.0,2.0,0.042
103.0,1.7,0.074
103.0,1.5,0.008
104.0,0.84,0.006
103.0,1.8,0.006
104.0,1.2,0.007
104.0,0.86,0.01
102.0,2.4,0.02
103.0,2.0,0.007
103.0,1.7,0.007
104.0,0.99,0.484
103.0,1.6,0.008
103.0,2.0,0.02
104.0,0.61,0.278
103.0,1.6,0.012
104.0,0.66,0.008
104.0,0.9,0.006
102.0,2.0,0.021
104.0,1.3,0.06
103.0,2.1,0.55
102.0,2.8,0.348
102.0,2.5,0.385
103.0,1.6,0.014
103.0,1.9,0.347
104.0,1.1,0.151
103.0,2.0,0.208
103.0,1.6,0.271
104.0,0.93,0.36
102.0,2.5,0.044
103.0,1.9,0.024
104.0,1.1,0.52
103.0,2.1,0.037
103.0,2.1,0.329
103.0,1.6,0.47
102.0,2.5,0.553
104.0,0.53,0.007
103.0,1.4,0.56
103.0,1.1,0.363
104.0,1.3,0.432
104.0,1.2,0.012
102.0,2.9,0.384
103.0,1.3,0.497
103.0,2.1,0.154
103.0,1.5,0.086
104.0,1.0,0.224
103.0,1.5,0.357
103.0,1.7,0.029
103.0,1.7,0.069
102.0,1.9,0.021
101.0,3.9,0.009
103.0,1.7,0.093
103.0,1.5,0.019
103.0,1.5,0.434
103.0,1.8,0.043
103.0,1.1,0.315
103.0,1.8,0.027
103.0,1.3,0.034
102.0,2.2,0.138
103.0,1.8,0.255
103.0,1.6,0.163
103.0,2.0,0.006
102.0,3.1,0.113
103.0,1.6,0.201
103.0,1.5,0.082
104.0,1.0,0.13
103.0,2.0,0.443
103.0,1.7,0.112
103.0,1.6,0.245
102.0,2.6,0.075
103.0,1.4,0.013
103.0,1.7,0.418
102.0,2.6,0.462
103.0,1.7,0.266
103.0,1.8,0.475
104.0,1.3,0.041
104.0,1.6,0.006
102.0,1.9,0.601
103.0,1.7,0.406
104.0,0.93,0.442
102.0,2.7,0.557
102.0,2.8,0.431
104.0,1.1,0.736
101.0,3.4,0.576
103.0,1.8,0.32
102.0,2.7,0.205
103.0,1.7,0.121
103.0,2.0,0.046
104.0,1.3,0.006
102.0,1.7,0.14
104.0,1.1,0.164
102.0,2.4,0.101
103.0,1.7,0.068
102.0,2.3,0.388
105.0,0.3,0.04
104.0,0.33,0.047
106.0,0.13,0.028
105.0,0.0,0.006
101.0,2.3,0.111
103.0,2.0,0.033
103.0,1.8,0.174
102.0,2.8,0.349
103.0,2.2,0.101
103.0,2.5,0.006
101.0,2.5,0.24
104.0,1.5,0.014
103.0,1.6,0.077
104.0,1.2,0.023
102.0,2.0,0.074
103.0,2.5,0.007
102.0,2.2,0.028
102.0,2.4,0.107
104.0,1.5,0.008
102.0,1.9,0.107
103.0,1.8,0.1
103.0,1.6,0.045
103.0,3.0,0.005
102.0,1.3,0.077
105.0,1.1,0.005
102.0,1.8,0.012
102.0,2.4,0.095
102.0,2.9,0.008
101.0,3.4,0.087
104.0,1.3,0.062
103.0,1.9,0.031
103.0,2.3,0.015
102.0,2.3,0.009
103.0,1.7,0.008
102.0,2.1,0.358
103.0,2.0,0.013
103.0,2.4,0.006
104.0,1.1,0.006
103.0,1.6,0.006
103.0,1.6,0.022
